,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
0,4268-5346,Invictus Gaming,Top Esports,Duke,Aatrox,Ning,Kayn,Rookie,Lissandra,JackeyLove,Sivir,Baolan,Thresh,369,Urgot,Xx,Sejuani,knight,Akali,LokeN,Kai'Sa,Ben,Braum,0,1
1,4268-5347,Top Esports,Invictus Gaming,369,Camille,Xx,Sejuani,knight,Irelia,LokeN,Ezreal,Ben,Thresh,Duke,Vladimir,Ning,Zac,Rookie,Jayce,JackeyLove,Kai'Sa,Baolan,Alistar,1,0
2,4269-5348,FunPlus Phoenix,Rogue Warriors,GimGoon,Urgot,Tian,Sejuani,Doinb,Yasuo,Lwx,Varus,Crisp,Tahm Kench,Gloria,Sion,Daylight,Gragas,MaiX,Irelia,ZWuJi,Kai'Sa,Killua,Nautilus,0,1
3,4269-5349,FunPlus Phoenix,Rogue Warriors,GimGoon,Urgot,Tian,Gragas,Doinb,Kled,Lwx,Kai'Sa,Crisp,Braum,Gloria,Sion,Daylight,Sejuani,MaiX,Irelia,ZWuJi,Kalista,Killua,Thresh,0,1
4,4270-5350,EDward Gaming,SinoDragon Gaming,Ray,Aatrox,Haro,Xin Zhao,Scout,Syndra,iBoy,Xayah,Meiko,Rakan,Changhong,Sion,Xiaopeng,Lee Sin,Twila,Zilean,GALA,Viktor,Mark,Tahm Kench,0,1
5,4270-5351,SinoDragon Gaming,EDward Gaming,Changhong,Aatrox,Xiaopeng,Nidalee,Twila,Aurelion Sol,GALA,Caitlyn,Mark,Morgana,Ray,Akali,Haro,Xin Zhao,Scout,Zoe,Hope,Kai'Sa,Meiko,Rakan,1,0
6,4271-5352,Bilibili Gaming,LGD Gaming,ADD,Kled,Meteor,Camille,Kuro,Galio,Jinjiao,Sivir,Mni,Tahm Kench,Lies,Urgot,Condi,Lee Sin,Yuuki,Lissandra,Kramer,Kai'Sa,pyl,Alistar,0,1
7,4271-5353,LGD Gaming,Bilibili Gaming,Lies,Jax,Condi,Kha'Zix,Yuuki,Galio,Kramer,Kai'Sa,pyl,Gragas,ADD,Poppy,Meteor,Camille,Kuro,Zoe,Jinjiao,Lucian,Mni,Rakan,1,0
8,4272-5354,Vici Gaming,Suning,Chelizi,Renekton,Aix,Jarvan IV,Jay,Galio,Puff,Xayah,Southwind,Rakan,Langx,Urgot,H4cker,Lee Sin,Maple,Zoe,smlz,Viktor,SwordArt,Tahm Kench,0,1
9,4272-5355,Suning,Vici Gaming,Langx,Urgot,H4cker,Kha'Zix,Maple,Lissandra,smlz,Sivir,SwordArt,Alistar,Chelizi,Sion,Aix,Camille,Jay,Syndra,Puff,Lucian,Southwind,Braum,0,1
