,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
0,10660-10660_game_1,LNG Esports,Rare Atom,Zika,Aatrox,Weiwei,Maokai,Scout,Orianna,GALA,Kalista,Mark,Senna,Xiaoxu,Rumble,naiyou,Rell,VicLa,LeBlanc,Assum,Varus,Zorah,Renata Glasc,1,0
1,10660-10660_game_2,LNG Esports,Rare Atom,Zika,Kennen,Weiwei,Bel'Veth,Scout,Neeko,GALA,Senna,Mark,Tahm Kench,Xiaoxu,Jax,naiyou,Jarvan IV,VicLa,LeBlanc,Assum,Kalista,Zorah,Rell,1,0
2,10660-10660_game_3,LNG Esports,Rare Atom,Zika,Jax,Weiwei,Bel'Veth,Scout,Neeko,GALA,Caitlyn,Hang,Lux,Xiaoxu,Aatrox,naiyou,Lee Sin,VicLa,Azir,Assum,Kalista,Zorah,Renata Glasc,0,1
3,10660-10660_game_4,Rare Atom,LNG Esports,Xiaoxu,Rumble,naiyou,Jarvan IV,VicLa,Tristana,Assum,Draven,Zorah,Renata Glasc,Zika,Aatrox,Weiwei,Wukong,Scout,Orianna,GALA,Kalista,Hang,Senna,0,1
4,10661-10661_game_1,JD Gaming,Top Esports,sheer,Renekton,Maggie,Xin Zhao,Yagao,Azir,Ruler,Varus,MISSING,Nautilus,369,Aatrox,Tian,Lee Sin,Creme,Orianna,JackeyLove,Lucian,Meiko,Milio,0,1
5,10661-10661_game_2,Top Esports,JD Gaming,369,Rumble,Tian,Poppy,Creme,Neeko,JackeyLove,Lucian,Meiko,Milio,sheer,Ryze,Maggie,Lee Sin,Yagao,Orianna,Ruler,Xayah,MISSING,Rakan,0,1
6,10661-10661_game_3,JD Gaming,Top Esports,sheer,Jax,Maggie,Nocturne,Yagao,Neeko,Ruler,Zeri,MISSING,Lulu,369,Aatrox,Tian,Lee Sin,Creme,Orianna,JackeyLove,Senna,Meiko,Tahm Kench,0,1
7,10661-10661_game_4,Top Esports,JD Gaming,369,Jax,Tian,Jarvan IV,Creme,Akali,JackeyLove,Lucian,Meiko,Nami,sheer,Renekton,Maggie,Sejuani,Yagao,Neeko,Ruler,Zeri,MISSING,Milio,0,1
8,10661-10661_game_5,JD Gaming,Top Esports,sheer,Jax,Maggie,Xin Zhao,Yagao,Neeko,Ruler,Lucian,MISSING,Nami,369,Gragas,Tian,Lee Sin,Creme,Sylas,JackeyLove,Draven,Meiko,Milio,0,1
9,10662-10662_game_1,Ninjas in Pyjamas,Bilibili Gaming,shanji,Aatrox,Aki,Lee Sin,Rookie,LeBlanc,Photic,Caitlyn,Zhuo,Lux,Bin,Renekton,Xun,Nidalee,knight,Tristana,Elk,Kalista,ON,Renata Glasc,1,0
