,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
0,8401-8401_game_1,Oh My God,ThunderTalk Gaming,shanji,Gwen,Aki,Jarvan IV,Creme,Syndra,Able,Jinx,COLD,Nautilus,New,Jax,Moyan,Xin Zhao,Feikun,Vex,Puff,Aphelios,Southwind,Thresh,0,1
1,8401-8401_game_2,Oh My God,ThunderTalk Gaming,shanji,Rumble,Aki,Xin Zhao,Creme,Corki,Able,Jinx,COLD,Rakan,New,Gangplank,Moyan,Lee Sin,Feikun,Twisted Fate,Puff,Ziggs,Southwind,Leona,0,1
2,8402-8402_game_1,FunPlus Phoenix,Royal Never Give Up,Xiaolaohu,Graves,Beichuan,Viego,Gori,Corki,Lwx,Jinx,Hang,Thresh,Bin,Jayce,Wei,Xin Zhao,Xiaohu,Viktor,GALA,Jhin,Ming,Sett,0,1
3,8402-8402_game_2,FunPlus Phoenix,Royal Never Give Up,Xiaolaohu,Gwen,Beichuan,Viego,Gori,Viktor,Lwx,Caitlyn,Hang,Lux,Bin,Jax,Wei,Xin Zhao,Xiaohu,Zoe,GALA,Jhin,Ming,Karma,1,0
4,8402-8402_game_3,Royal Never Give Up,FunPlus Phoenix,Bin,Gwen,Wei,Jarvan IV,Xiaohu,Syndra,GALA,Jinx,Ming,Thresh,Xiaolaohu,Jayce,Beichuan,Lee Sin,Gori,Corki,Lwx,Aphelios,Hang,Lulu,1,0
5,8403-8403_game_1,JD Gaming,EDward Gaming,369,Jayce,Kanavi,Xin Zhao,Yagao,Zoe,Lpc,Kai'Sa,MISSING,Rakan,Flandre,Annie,JieJie,Lee Sin,Scout,Ryze,Viper,Jhin,Meiko,Leona,1,0
6,8403-8403_game_2,JD Gaming,EDward Gaming,369,Kennen,Kanavi,Xin Zhao,Yagao,Zoe,Lpc,Samira,MISSING,Leona,Flandre,Vladimir,JieJie,Lee Sin,Scout,Vex,Viper,Jhin,Meiko,Nautilus,1,0
7,8404-8404_game_1,LGD Gaming,Anyone's Legend,fearness,Akali,Shad0w,Xin Zhao,YeG,Viktor,Eric,Jinx,Jinjiao,Braum,Zdz,Camille,Xiaohao,Olaf,Forge,LeBlanc,Betty,Ziggs,QiuQiu,Leona,0,1
8,8404-8404_game_2,Anyone's Legend,LGD Gaming,Zdz,Jayce,Xiaohao,Xin Zhao,Forge,Ryze,Betty,Aphelios,QiuQiu,Thresh,fearness,Kennen,Shad0w,Olaf,YeG,Orianna,Eric,Jinx,Jinjiao,Lulu,0,1
9,8404-8404_game_3,LGD Gaming,Anyone's Legend,fearness,Kennen,Shad0w,Talon,YeG,Viktor,Eric,Jinx,Jinjiao,Nautilus,Zdz,Camille,Xiaohao,Graves,Forge,Akali,Betty,Aphelios,QiuQiu,Thresh,1,0
