,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
0,5655-7249,Invictus Gaming,FunPlus Phoenix,TheShy,Aatrox,Ning,Qiyana,Rookie,Rumble,Puff,Senna,Southwind,Braum,Khan,Ornn,Tian,Jarvan IV,Doinb,Ryze,Lwx,Miss Fortune,Crisp,Leona,0,1
1,5655-7250,Invictus Gaming,FunPlus Phoenix,TheShy,Aatrox,Ning,Qiyana,Rookie,Orianna,Puff,Varus,Southwind,Braum,Khan,Fiora,Tian,Jarvan IV,Doinb,Mordekaiser,Lwx,Miss Fortune,Crisp,Thresh,1,0
2,5655-7251,Invictus Gaming,FunPlus Phoenix,TheShy,Ornn,Leyan,Qiyana,Rookie,Orianna,Puff,Varus,Southwind,Braum,Khan,Mordekaiser,Tian,Jarvan IV,Doinb,Diana,Lwx,Miss Fortune,Crisp,Leona,0,1
3,5656-7252,LGD Gaming,LNG Esports,fearness,Renekton,Peanut,Gragas,Yuuki,Irelia,Kramer,Aphelios,Chance,Braum,Flandre,Aatrox,Xx,Jarvan IV,Maple,LeBlanc,Asura,Miss Fortune,Duan,Leona,0,1
4,5656-7253,LNG Esports,LGD Gaming,Flandre,Aatrox,Xx,Jarvan IV,Maple,Zoe,Asura,Miss Fortune,Duan,Leona,fearness,Renekton,Peanut,Lee Sin,Yuuki,Rumble,Kramer,Varus,Chance,Braum,0,1
5,5656-7254,LGD Gaming,LNG Esports,fearness,Aatrox,Peanut,Rek'Sai,Yuuki,LeBlanc,Kramer,Aphelios,Chance,Leona,Flandre,Mordekaiser,Xx,Jarvan IV,Maple,Ryze,Asura,Miss Fortune,Duan,Braum,1,0
6,5657-7255,eStar,Rogue Warriors,Xiaobai,Mordekaiser,Wei,Olaf,Cryin,Taliyah,Wink,Aphelios,ShiauC,Leona,Holder,Gangplank,Haro,Gragas,Wuming,Lucian,ZWuJi,Miss Fortune,Ley,Nautilus,0,1
7,5657-7256,Rogue Warriors,eStar,Holder,Ornn,Haro,Taliyah,Ruby,Pantheon,ZWuJi,Miss Fortune,Ley,Thresh,Xiaobai,Renekton,Wei,Qiyana,Cryin,Ryze,Wink,Senna,ShiauC,Tahm Kench,1,0
8,5658-7257,Oh My God,JD Gaming,Breathe,Aatrox,H4cker,Jarvan IV,ICON,Cassiopeia,smlz,Aphelios,COLD,Braum,Zoom,Ornn,Kanavi,Kindred,Yagao,LeBlanc,LokeN,Caitlyn,LvMao,Nautilus,1,0
9,5658-7258,Oh My God,JD Gaming,Breathe,Ornn,H4cker,Elise,ICON,Irelia,smlz,Aphelios,COLD,Thresh,Zoom,Mordekaiser,Kanavi,Lee Sin,Yagao,LeBlanc,LokeN,Miss Fortune,LvMao,Leona,1,0
