,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
10,5659-7259,Vici Gaming,Bilibili Gaming,Cube,Ornn,Chieftain,Gragas,Forge,Jayce,iBoy,Miss Fortune,Maestro,Leona,Kingen,Fiora,Meteor,Elise,FoFo,Qiyana,Jinjiao,Senna,XinMo,Braum,1,0
11,5659-7260,Bilibili Gaming,Vici Gaming,Kingen,Camille,Meteor,Qiyana,FoFo,Orianna,Jinjiao,Aphelios,XinMo,Thresh,Cube,Mordekaiser,Chieftain,Elise,Forge,Jayce,iBoy,Xayah,Maestro,Rakan,1,0
12,5659-7261,Vici Gaming,Bilibili Gaming,Cube,Ornn,Chieftain,Elise,Forge,Irelia,iBoy,Kai'Sa,Maestro,Leona,Kingen,Gangplank,Meteor,Qiyana,FoFo,LeBlanc,Jinjiao,Miss Fortune,XinMo,Braum,1,0
13,5660-7262,Invictus Gaming,Dominus Esports,TheShy,Kennen,Leyan,Qiyana,Rookie,Ekko,Puff,Varus,Southwind,Braum,Ale,Irelia,bless,Jarvan IV,xiye,Rumble,GALA,Miss Fortune,Mark,Nautilus,0,1
14,5660-7263,Dominus Esports,Invictus Gaming,Ale,Akali,Xiaopeng,Lee Sin,xiye,LeBlanc,GALA,Varus,Mark,Leona,TheShy,Kennen,Leyan,Rek'Sai,Rookie,Rumble,Puff,Miss Fortune,Southwind,Rakan,1,0
15,5661-7265,Victory Five,EDward Gaming,Aliez,Kennen,xiaohan,Olaf,Mole,Ryze,y4,Lucian,poge,Braum,Jinoo,Renekton,JieJie,Taliyah,Scout,Cassiopeia,Hope,Miss Fortune,Meiko,Leona,1,0
16,5661-7266,Victory Five,EDward Gaming,clx,LeBlanc,xiaohan,Lee Sin,Mole,Lucian,y4,Miss Fortune,poge,Nautilus,Jinoo,Renekton,JieJie,Taliyah,Scout,Lissandra,Hope,Senna,Meiko,Braum,1,0
17,5662-7264,Rogue Warriors,Suning,Crazy,Aatrox,Haro,Gragas,Ruby,Ryze,ZWuJi,Miss Fortune,Ley,Leona,Bin,Mordekaiser,SofM,Lee Sin,Angel,Zoe,Weiwei,Senna,SwordArt,Tahm Kench,0,1
18,5662-7267,Suning,Rogue Warriors,Bin,Mordekaiser,SofM,Lee Sin,Angel,Rumble,Weiwei,Miss Fortune,SwordArt,Leona,Crazy,Renekton,Haro,Taliyah,Ruby,Aatrox,ZWuJi,Lucian,Ley,Rakan,1,0
19,5663-7268,FunPlus Phoenix,eStar,Khan,Renekton,Tian,Rek'Sai,Doinb,Ryze,Lwx,Aphelios,Crisp,Nautilus,Xiaobai,Rumble,Wei,Jarvan IV,Cryin,Cassiopeia,Wink,Senna,ShiauC,Thresh,1,0
20,5663-7269,FunPlus Phoenix,eStar,Khan,Fiora,Tian,Lee Sin,Doinb,Nautilus,Lwx,Aphelios,Crisp,Braum,Xiaobai,Mordekaiser,Wei,Qiyana,Cryin,Cassiopeia,Wink,Miss Fortune,ShiauC,Leona,0,1
21,5663-7270,eStar,FunPlus Phoenix,Xiaobai,Kennen,Wei,Jarvan IV,Cryin,Rumble,Wink,Miss Fortune,ShiauC,Leona,Khan,Camille,Tian,Qiyana,Doinb,Mordekaiser,Lwx,Kai'Sa,Crisp,Nautilus,0,1
22,5664-7271,Top Esports,LNG Esports,369,Mordekaiser,Karsa,Lee Sin,knight,Zoe,Photic,Senna,QiuQiu,Rakan,Flandre,Ornn,Xx,Olaf,Maple,Rumble,Asura,Miss Fortune,Duan,Braum,0,1
23,5664-7277,LNG Esports,Top Esports,Flandre,Sett,Xx,Rek'Sai,Maple,Rumble,Asura,Aphelios,Duan,Thresh,369,Vladimir,Karsa,Gragas,knight,Lucian,Photic,Miss Fortune,QiuQiu,Nautilus,1,0
24,5665-7272,Team WE,JD Gaming,Morgan,Gangplank,beishang,Qiyana,Jett,Zoe,Elk,Miss Fortune,MISSING,Braum,Zoom,Mordekaiser,Kanavi,Rek'Sai,Yagao,Nautilus,LokeN,Aphelios,LvMao,Rakan,1,0
25,5665-7276,JD Gaming,Team WE,Zoom,Sett,Kanavi,Nidalee,Yagao,Qiyana,LokeN,Varus,LvMao,Braum,Morgan,Ornn,beishang,Olaf,Jett,Zoe,Elk,Aphelios,MISSING,Leona,0,1
26,5666-7273,Bilibili Gaming,Royal Never Give Up,Kingen,Aatrox,Meteor,Gragas,FoFo,Lucian,Jinjiao,Varus,XinMo,Braum,Langx,Renekton,XLB,Rek'Sai,Xiaohu,Rumble,Betty,Miss Fortune,Ming,Rakan,1,0
27,5666-7274,Royal Never Give Up,Bilibili Gaming,Langx,Aatrox,XLB,Lee Sin,Xiaohu,LeBlanc,Betty,Miss Fortune,Ming,Morgana,Kingen,Gangplank,Meteor,Gragas,FoFo,Lissandra,Jinjiao,Aphelios,XinMo,Leona,1,0
28,5666-7275,Bilibili Gaming,Royal Never Give Up,Kingen,Aatrox,Meteor,Nocturne,FoFo,Rumble,Jinjiao,Senna,XinMo,Braum,Langx,Mordekaiser,XLB,Rek'Sai,Xiaohu,Sylas,Betty,Miss Fortune,Ming,Leona,0,1
29,5667-7278,Vici Gaming,Dominus Esports,Cube,Aatrox,Aix,Qiyana,Forge,Rumble,iBoy,Senna,Maestro,Braum,Ale,Renekton,Xiaopeng,Jarvan IV,Twila,Zilean,GALA,Aphelios,Mark,Leona,1,0
30,5667-7279,Vici Gaming,Dominus Esports,Cube,Renekton,Aix,Jarvan IV,Forge,Rumble,iBoy,Lucian,Maestro,Nautilus,Ale,Jax,Xiaopeng,Qiyana,Twila,Cassiopeia,GALA,Miss Fortune,Mark,Leona,0,1
31,5667-7280,Vici Gaming,Dominus Esports,Cube,Kennen,Aix,Elise,Forge,Lucian,iBoy,Miss Fortune,Maestro,Leona,Ale,Camille,Xiaopeng,Qiyana,xiye,Cassiopeia,GALA,Aphelios,Mark,Nautilus,0,1
32,5668-7281,EDward Gaming,Top Esports,Jinoo,Aatrox,JieJie,Lee Sin,Scout,Diana,Hope,Senna,Meiko,Leona,369,Jax,Karsa,Jarvan IV,knight,Zoe,Photic,Miss Fortune,QiuQiu,Nautilus,0,1
33,5668-7282,Top Esports,EDward Gaming,369,Mordekaiser,Karsa,Rek'Sai,knight,Orianna,Photic,Senna,QiuQiu,Braum,Jinoo,Aatrox,JieJie,Lee Sin,Scout,Sylas,Hope,Lucian,Meiko,Leona,0,1
34,5668-7283,EDward Gaming,Top Esports,Jinoo,Vladimir,JieJie,Elise,Scout,Pantheon,Hope,Aphelios,Meiko,Nautilus,369,Ornn,Karsa,Lee Sin,knight,Viktor,Photic,Varus,QiuQiu,Tahm Kench,1,0
35,5952-7303,LNG Esports,Oh My God,Flandre,Ornn,Xx,Camille,Maple,Lissandra,Asura,Senna,Duan,Tahm Kench,Breathe,Aatrox,H4cker,Lee Sin,ICON,LeBlanc,smlz,Aphelios,COLD,Bard,0,1
36,5952-7304,Oh My God,LNG Esports,Breathe,Sett,H4cker,Lee Sin,ICON,Zoe,smlz,Miss Fortune,COLD,Leona,Flandre,Janna,Xx,Olaf,Maple,LeBlanc,Asura,Ezreal,Duan,Alistar,0,1
37,5952-7305,LNG Esports,Oh My God,Flandre,Ornn,Xx,Rek'Sai,Maple,Zoe,Asura,Kalista,Duan,Braum,Breathe,Sett,H4cker,Lee Sin,ICON,Diana,smlz,Miss Fortune,COLD,Leona,1,0
38,5953-7306,FunPlus Phoenix,JD Gaming,GimGoon,Aatrox,Tian,Lee Sin,Doinb,Rumble,Lwx,Miss Fortune,Crisp,Rakan,705,Ornn,Kanavi,Kindred,Yagao,Karma,LokeN,Aphelios,LvMao,Braum,0,1
39,5953-7307,FunPlus Phoenix,JD Gaming,GimGoon,Aatrox,Tian,Lee Sin,Doinb,Rumble,Lwx,Miss Fortune,Crisp,Blitzcrank,705,Mordekaiser,Kanavi,Kindred,Yagao,Ornn,LokeN,Aphelios,LvMao,Leona,1,0
40,5953-7308,JD Gaming,FunPlus Phoenix,705,Renekton,Kanavi,Kindred,Yagao,Karma,LokeN,Aphelios,LvMao,Rakan,GimGoon,Aatrox,Tian,Gragas,Doinb,Sylas,Lwx,Miss Fortune,Crisp,Leona,1,0
41,5954-7309,Royal Never Give Up,Top Esports,Langx,Sett,XLB,Trundle,Xiaohu,Sylas,Betty,Aphelios,Ming,Taric,369,Ornn,Karsa,Sejuani,knight,Azir,Photic,Miss Fortune,yuyanjia,Leona,0,1
42,5954-7310,Royal Never Give Up,Top Esports,Langx,Sett,XLB,Rek'Sai,Xiaohu,Zoe,Betty,Kai'Sa,Ming,Braum,369,Ornn,Karsa,Sejuani,knight,Diana,Photic,Aphelios,yuyanjia,Yuumi,0,1
43,5955-7311,Dominus Esports,LGD Gaming,Ale,Renekton,Xiaopeng,Lee Sin,Twila,Cassiopeia,GALA,Aphelios,Mark,Nautilus,Lies,Gnar,Peanut,Gragas,Yuuki,Pantheon,Kramer,Miss Fortune,Chance,Thresh,0,1
44,5955-7312,LGD Gaming,Dominus Esports,Lies,Mordekaiser,Peanut,Elise,Yuuki,Qiyana,Kramer,Varus,Chance,Thresh,Ale,Aatrox,Xiaopeng,Lee Sin,Twila,Lissandra,GALA,Miss Fortune,Mark,Nautilus,1,0
45,5956-7313,Suning,eStar,Biubiu,Renekton,SofM,Gragas,Angel,Ornn,huanfeng,Ezreal,SwordArt,Yuumi,Xiaobai,Maokai,Wei,Jarvan IV,Cryin,Rumble,Wink,Miss Fortune,ShiauC,Bard,1,0
46,5956-7314,eStar,Suning,Xiaobai,Rumble,Wei,Sejuani,Cryin,Lucian,Wink,Kalista,ShiauC,Braum,Biubiu,Renekton,SofM,Jarvan IV,Angel,Azir,huanfeng,Miss Fortune,SwordArt,Nautilus,1,0
47,5956-7315,Suning,eStar,Biubiu,Aatrox,SofM,Elise,Angel,Azir,huanfeng,Miss Fortune,SwordArt,Nautilus,Xiaobai,Maokai,Wei,Jarvan IV,Cryin,Rumble,Wink,Varus,ShiauC,Thresh,1,0
48,5957-7316,Royal Never Give Up,Oh My God,Langx,Ornn,XLB,Lee Sin,Xiaohu,Corki,Betty,Kalista,Ming,Nautilus,Breathe,Gangplank,H4cker,Jarvan IV,ICON,Rumble,smlz,Miss Fortune,COLD,Braum,0,1
49,5957-7317,Oh My God,Royal Never Give Up,Breathe,Irelia,H4cker,Elise,ICON,Zoe,smlz,Aphelios,COLD,Nautilus,Langx,Aatrox,XLB,Lee Sin,Xiaohu,Orianna,Betty,Miss Fortune,Ming,Leona,0,1
50,5957-7318,Royal Never Give Up,Oh My God,Langx,Ornn,XLB,Rek'Sai,Xiaohu,Rumble,Betty,Miss Fortune,Ming,Nautilus,Breathe,Mordekaiser,H4cker,Lee Sin,ICON,Zoe,smlz,Varus,COLD,Leona,0,1
51,5958-7319,Victory Five,Team WE,Aliez,Mordekaiser,As6,Jarvan IV,Mole,Zoe,y4,Senna,clx,Galio,Morgan,Sett,beishang,Gragas,Jett,Yasuo,Elk,Miss Fortune,MISSING,Nautilus,1,0
52,5958-7320,Team WE,Victory Five,Morgan,Renekton,beishang,Lee Sin,Jett,LeBlanc,Elk,Kalista,MISSING,Thresh,Aliez,Poppy,As6,Elise,Mole,Zoe,y4,Varus,clx,Braum,0,1
53,5959-7321,Invictus Gaming,Vici Gaming,TheShy,Kalista,Ning,Olaf,Rookie,Rumble,Puff,Ezreal,Southwind,Yuumi,Cube,Ornn,Chieftain,Trundle,Zeka,Zoe,iBoy,Miss Fortune,Hang,Leona,0,1
54,5959-7322,Invictus Gaming,Vici Gaming,TheShy,Kalista,Ning,Jarvan IV,Rookie,Syndra,Puff,Varus,Southwind,Thresh,Cube,Kennen,Chieftain,Rek'Sai,Zeka,Ekko,iBoy,Miss Fortune,Hang,Nautilus,0,1
55,5960-7323,eStar,LGD Gaming,Xiaobai,Sett,Wei,Karthus,Cryin,Pantheon,Wink,Miss Fortune,ShiauC,Thresh,Lies,Ornn,Peanut,Olaf,Yuuki,Sylas,Kramer,Lucian,Killua,Bard,0,1
56,5960-7324,LGD Gaming,eStar,Lies,Ornn,Peanut,Trundle,Yuuki,Sylas,Kramer,Lucian,Killua,Bard,Xiaobai,Poppy,Wei,Lee Sin,Cryin,LeBlanc,Wink,Miss Fortune,ShiauC,Thresh,1,0
57,5961-7325,Bilibili Gaming,LNG Esports,Kingen,Aatrox,Meteor,Elise,FoFo,Lissandra,Jinjiao,Aphelios,XinMo,Nautilus,Flandre,Mordekaiser,Xx,Jarvan IV,Maple,LeBlanc,Asura,Senna,Duan,Tahm Kench,0,1
58,5961-7326,LNG Esports,Bilibili Gaming,Flandre,Qiyana,Xx,Elise,Maple,Azir,Asura,Senna,Duan,Tahm Kench,Kingen,Aatrox,Meteor,Sejuani,FoFo,Sylas,Jinjiao,Aphelios,XinMo,Nautilus,0,1
59,5961-7327,Bilibili Gaming,LNG Esports,Kingen,Aatrox,Meteor,Rek'Sai,FoFo,Viktor,Jinjiao,Aphelios,XinMo,Nautilus,Flandre,Malphite,Xx,Poppy,Maple,Azir,Asura,Senna,Duan,Tahm Kench,1,0
60,5962-7328,EDward Gaming,Suning,Xiaoxiang,Ornn,JunJia,Nunu & Willump,Scout,Lucian,Hope,Ezreal,Meiko,Leona,Biubiu,Janna,SofM,Olaf,Angel,Lissandra,huanfeng,Miss Fortune,SwordArt,Braum,1,0
61,5962-7329,EDward Gaming,Suning,Xiaoxiang,Sylas,JunJia,Sejuani,Scout,Qiyana,Hope,Miss Fortune,Meiko,Nautilus,Biubiu,Ornn,SofM,Jarvan IV,Angel,Azir,huanfeng,Jhin,SwordArt,Tahm Kench,1,0
62,5963-7330,Oh My God,Rogue Warriors,Breathe,Gangplank,H4cker,Lee Sin,ICON,Zoe,smlz,Aphelios,COLD,Nautilus,Crazy,Aatrox,Haro,Elise,Ruby,Azir,ZWuJi,Miss Fortune,Ley,Leona,0,1
63,5963-7331,Rogue Warriors,Oh My God,Crazy,Renekton,WeiYan,Lee Sin,Ruby,LeBlanc,ZWuJi,Vayne,Ley,Senna,Breathe,Aatrox,H4cker,Olaf,ICON,Galio,smlz,Aphelios,COLD,Blitzcrank,1,0
64,5964-7332,Team WE,Vici Gaming,Morgan,Renekton,beishang,Jarvan IV,Jett,Rumble,Elk,Aphelios,MISSING,Thresh,Cube,Mordekaiser,Aix,Lee Sin,Zeka,Sylas,iBoy,Miss Fortune,Hang,Nautilus,0,1
65,5964-7333,Team WE,Vici Gaming,Morgan,Renekton,beishang,Ekko,Jett,Pantheon,Elk,Kalista,MISSING,Taric,Cube,Aatrox,Chieftain,Rek'Sai,Zeka,Zoe,iBoy,Miss Fortune,Hang,Nautilus,0,1
66,5965-7334,Dominus Esports,FunPlus Phoenix,Ale,Aatrox,Xiaopeng,Elise,xiye,Qiyana,GALA,Miss Fortune,Mark,Alistar,GimGoon,Renekton,Tian,Rek'Sai,Doinb,Sylas,Lwx,Kalista,Crisp,Rakan,1,0
67,5965-7335,Dominus Esports,FunPlus Phoenix,Ale,Vladimir,Xiaopeng,Jarvan IV,xiye,Sylas,GALA,Senna,Mark,Tahm Kench,GimGoon,Ornn,Tian,Lee Sin,Doinb,Kassadin,Lwx,Varus,Crisp,Yuumi,1,0
68,5966-7336,Victory Five,JD Gaming,Aliez,Aatrox,As6,Elise,Mole,Zoe,y4,Lucian,clx,Leona,705,Renekton,Kanavi,Lee Sin,Yagao,Syndra,LokeN,Miss Fortune,LvMao,Nautilus,1,0
69,5966-7337,JD Gaming,Victory Five,705,Aatrox,Kanavi,Sylas,Yagao,Lucian,LokeN,Miss Fortune,LvMao,Thresh,Aliez,Ornn,As6,Jarvan IV,Mole,Taliyah,y4,Ezreal,clx,Tahm Kench,0,1
70,5967-7338,eStar,EDward Gaming,Xiaobai,Mordekaiser,Wei,Lee Sin,Cryin,Rumble,Wink,Aphelios,ShiauC,Thresh,Xiaoxiang,Renekton,JunJia,Sejuani,Scout,Sylas,Hope,Miss Fortune,Meiko,Braum,1,0
71,5967-7339,eStar,EDward Gaming,Xiaobai,Maokai,Wei,Lee Sin,Cryin,Rumble,Wink,Aphelios,ShiauC,Morgana,Xiaoxiang,Renekton,JunJia,Sejuani,Scout,Azir,Hope,Miss Fortune,Meiko,Nautilus,1,0
72,5968-7340,Bilibili Gaming,Suning,Kingen,Maokai,Meteor,Graves,FoFo,Azir,Jinjiao,Senna,XinMo,Nautilus,Biubiu,Janna,SofM,Jarvan IV,Angel,Kassadin,huanfeng,Miss Fortune,SwordArt,Leona,1,0
73,5968-7341,Bilibili Gaming,Suning,Kingen,Maokai,Meteor,Sylas,FoFo,Lucian,Jinjiao,Senna,XinMo,Nautilus,Biubiu,Janna,SofM,Jarvan IV,Angel,Kassadin,huanfeng,Miss Fortune,SwordArt,Leona,1,0
74,5969-7342,Rogue Warriors,Invictus Gaming,Holder,Mordekaiser,WeiYan,Olaf,Ruby,Taliyah,ZWuJi,Miss Fortune,Ley,Nautilus,TheShy,Rumble,Ning,Lee Sin,Rookie,Orianna,Puff,Aphelios,Southwind,Thresh,1,0
75,5969-7343,Rogue Warriors,Invictus Gaming,Crazy,Renekton,WeiYan,Olaf,Ruby,Rumble,ZWuJi,Aphelios,Ley,Blitzcrank,TheShy,Kennen,Ning,Jarvan IV,Rookie,Syndra,Puff,Varus,Southwind,Thresh,0,1
76,5969-7344,Rogue Warriors,Invictus Gaming,Crazy,Ornn,WeiYan,Olaf,Ruby,Zoe,ZWuJi,Aphelios,Ley,Thresh,TheShy,Lucian,Ning,Trundle,Rookie,Neeko,Puff,Ezreal,Southwind,Tahm Kench,1,0
77,5970-7345,Royal Never Give Up,Team WE,Langx,Aatrox,XLB,Lee Sin,Xiaohu,Sylas,Betty,Aphelios,Ming,Nautilus,Morgan,Kennen,beishang,Jarvan IV,Jett,Rumble,Elk,Miss Fortune,MISSING,Braum,0,1
78,5970-7346,Royal Never Give Up,Team WE,Langx,Kennen,XLB,Lee Sin,Xiaohu,Syndra,Betty,Aphelios,Ming,Leona,Morgan,Aatrox,beishang,Gragas,Jett,Zoe,Elk,Miss Fortune,MISSING,Nautilus,0,1
79,5971-7347,Top Esports,LGD Gaming,369,Renekton,Karsa,Rek'Sai,knight,Zoe,Photic,Varus,yuyanjia,Thresh,Lies,Mordekaiser,Peanut,Jarvan IV,Yuuki,Lissandra,Kramer,Senna,Chance,Nautilus,1,0
80,5971-7348,LGD Gaming,Top Esports,Lies,Maokai,Peanut,Lee Sin,Yuuki,Ornn,Kramer,Varus,Chance,Thresh,369,Gangplank,Karsa,Jarvan IV,knight,Azir,Photic,Miss Fortune,yuyanjia,Braum,0,1
81,5972-7349,eStar,Victory Five,Xiaobai,Ornn,Wei,Rek'Sai,Cryin,Azir,Wink,Aphelios,ShiauC,Nautilus,Aliez,Mordekaiser,As6,Jarvan IV,Mole,LeBlanc,y4,Miss Fortune,clx,Leona,0,1
82,5972-7350,eStar,Victory Five,Xiaobai,Ornn,Wei,Rek'Sai,Cryin,Azir,Wink,Aphelios,ShiauC,Sett,Aliez,Renekton,As6,Elise,Mole,Lucian,y4,Kalista,clx,Leona,0,1
83,5973-7351,Bilibili Gaming,Oh My God,Kingen,Ornn,Meteor,Olaf,FoFo,Karma,Jinjiao,Ezreal,XinMo,Leona,Breathe,Aatrox,H4cker,Lee Sin,ICON,Syndra,smlz,Miss Fortune,COLD,Nautilus,0,1
84,5973-7352,Oh My God,Bilibili Gaming,Breathe,Renekton,H4cker,Elise,ICON,LeBlanc,smlz,Caitlyn,COLD,Tahm Kench,Kingen,Quinn,Meteor,Jarvan IV,FoFo,Lissandra,Jinjiao,Miss Fortune,XinMo,Leona,0,1
85,5973-7353,Bilibili Gaming,Oh My God,Kingen,Camille,Meteor,Elise,FoFo,Varus,Jinjiao,Miss Fortune,XinMo,Nautilus,Breathe,Renekton,H4cker,Lee Sin,ICON,Zoe,smlz,Caitlyn,COLD,Tahm Kench,1,0
86,5974-7354,Vici Gaming,JD Gaming,Cube,Aatrox,Chieftain,Jarvan IV,Zeka,Rumble,iBoy,Aphelios,Maestro,Rakan,705,Ornn,Kanavi,Rek'Sai,Yagao,Zoe,LokeN,Miss Fortune,LvMao,Leona,0,1
87,5974-7355,JD Gaming,Vici Gaming,705,Renekton,Kanavi,Sylas,Yagao,Azir,LokeN,Senna,LvMao,Tahm Kench,Cube,Aatrox,Chieftain,Jarvan IV,Zeka,Rumble,iBoy,Kog'Maw,Maestro,Lulu,0,1
88,5974-7356,Vici Gaming,JD Gaming,Cube,Ornn,Chieftain,Jarvan IV,Zeka,Galio,iBoy,Miss Fortune,Maestro,Rakan,705,Mordekaiser,Kanavi,Rek'Sai,Yagao,LeBlanc,LokeN,Xayah,LvMao,Nautilus,1,0
89,5975-7357,Rogue Warriors,EDward Gaming,Crazy,Renekton,WeiYan,Trundle,Ruby,Azir,ZWuJi,Aphelios,Ley,Thresh,Xiaoxiang,Mordekaiser,JunJia,Jarvan IV,Scout,Zoe,Hope,Miss Fortune,Meiko,Braum,0,1
90,5975-7358,Rogue Warriors,EDward Gaming,Crazy,Aatrox,WeiYan,Gragas,Ruby,Azir,ZWuJi,Aphelios,Ley,Thresh,Xiaoxiang,Fiora,JunJia,Jarvan IV,Scout,Zoe,Hope,Miss Fortune,Meiko,Nautilus,1,0
91,5975-7359,Rogue Warriors,EDward Gaming,Crazy,Kennen,WeiYan,Trundle,Ruby,Azir,ZWuJi,Aphelios,Ley,Thresh,Xiaoxiang,Aatrox,JunJia,Jarvan IV,Scout,Zoe,Hope,Miss Fortune,Meiko,Nautilus,0,1
92,5976-7360,Team WE,FunPlus Phoenix,Morgan,Irelia,beishang,Sejuani,Jett,Zoe,Elk,Kalista,MISSING,Thresh,GimGoon,Aatrox,Tian,Jarvan IV,Doinb,Kassadin,Lwx,Varus,Crisp,Tahm Kench,1,0
93,5976-7361,Team WE,FunPlus Phoenix,Morgan,Aatrox,beishang,Ekko,Jett,Pantheon,Elk,Ezreal,MISSING,Leona,GimGoon,Poppy,Tian,Lee Sin,Doinb,Azir,Lwx,Miss Fortune,Crisp,Nautilus,1,0
94,5977-7362,Victory Five,LNG Esports,Aliez,Aatrox,As6,Lee Sin,Mole,Neeko,y4,Kalista,clx,Orianna,Flandre,Mordekaiser,Xx,Pantheon,Maple,Rumble,Light,Aphelios,Duan,Nautilus,1,0
95,5977-7363,LNG Esports,Victory Five,Flandre,Ornn,Xx,Pantheon,Maple,Rumble,Light,Aphelios,Duan,Leona,Aliez,Aatrox,As6,Rek'Sai,Mole,Syndra,y4,Bard,clx,LeBlanc,1,0
96,5977-7364,LNG Esports,Victory Five,Flandre,Ornn,Xx,Jarvan IV,Maple,Zoe,Asura,Aphelios,Duan,Nautilus,Aliez,Aatrox,As6,Rek'Sai,Mole,Neeko,y4,Pyke,clx,Orianna,0,1
97,5978-7365,Top Esports,Vici Gaming,369,Mordekaiser,Karsa,Elise,knight,Pantheon,Photic,Kalista,yuyanjia,Nautilus,Cube,Renekton,Chieftain,Rek'Sai,Zeka,LeBlanc,iBoy,Tristana,Maestro,Rakan,1,0
98,5978-7366,Vici Gaming,Top Esports,Cube,Maokai,Chieftain,Jarvan IV,Zeka,LeBlanc,iBoy,Varus,Maestro,Thresh,369,Kayle,Karsa,Lee Sin,knight,Lissandra,Photic,Miss Fortune,yuyanjia,Nautilus,1,0
99,5978-7367,Vici Gaming,Top Esports,Cube,Renekton,Chieftain,Elise,Zeka,Lucian,iBoy,Miss Fortune,Maestro,Braum,369,Kennen,Karsa,Olaf,knight,Zoe,Photic,Kalista,yuyanjia,Thresh,1,0
100,5979-7368,JD Gaming,Bilibili Gaming,705,Mordekaiser,Kanavi,Jarvan IV,Yagao,LeBlanc,LokeN,Varus,LvMao,Thresh,ADD,Gangplank,Meteor,Maokai,FoFo,Zoe,Jinjiao,Miss Fortune,XinMo,Nautilus,0,1
101,5979-7369,Bilibili Gaming,JD Gaming,Kingen,Ornn,Meteor,Maokai,FoFo,Zoe,Jinjiao,Ezreal,XinMo,Thresh,705,Aatrox,Kanavi,Sylas,Yagao,Lucian,LokeN,Kalista,LvMao,Bard,1,0
102,5980-7370,Team WE,Dominus Esports,Morgan,Aatrox,beishang,Ekko,Teacherma,Pantheon,Elk,Kai'Sa,MISSING,Leona,Ale,Camille,Xiaopeng,Elise,xiye,Lissandra,GALA,Ezreal,Mark,Nautilus,0,1
103,5980-7371,Team WE,Dominus Esports,Morgan,Aatrox,beishang,Elise,Teacherma,Diana,Elk,Aphelios,MISSING,Thresh,Ale,Camille,Xiaopeng,Lee Sin,Twila,Azir,GALA,Miss Fortune,Mark,Nautilus,0,1
