,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
0,6909-9183,Top Esports,Suning,369,Karma,Karsa,Pantheon,knight,Syndra,JackeyLove,Samira,Zhuo,Leona,Bin,Aatrox,SofM,Nidalee,Angel,Viktor,huanfeng,Kai'Sa,ON,Galio,1,0
1,6909-9184,Top Esports,Suning,369,Jax,Karsa,Hecarim,knight,Orianna,JackeyLove,Samira,Zhuo,Alistar,Bin,Camille,SofM,Lillia,Angel,Viktor,huanfeng,Kai'Sa,ON,Maokai,1,0
2,6910-9189,Oh My God,EDward Gaming,New,Camille,Aki,Kindred,Wuming,Twisted Fate,Eric,Jhin,COLD,Galio,Flandre,Gragas,JieJie,Olaf,Scout,Orianna,Viper,Miss Fortune,Meiko,Leona,1,0
3,6910-9190,EDward Gaming,Oh My God,Flandre,Volibear,JieJie,Hecarim,Scout,Orianna,Viper,Samira,Meiko,Maokai,New,Renekton,Aki,Taliyah,Wuming,Galio,Eric,Kai'Sa,COLD,Alistar,1,0
4,6910-9191,Oh My God,EDward Gaming,New,Kennen,Aki,Graves,Wuming,Zoe,Eric,Miss Fortune,COLD,Thresh,Flandre,Aatrox,JieJie,Pantheon,Scout,Orianna,Viper,Jhin,Meiko,Maokai,1,0
5,6911-9185,Team WE,Rogue Warriors,Breathe,Renekton,beishang,Sejuani,Shanks,Syndra,Elk,Samira,MISSING,Alistar,Ziv,Volibear,Haro,Pantheon,Forge,Zoe,kelin,Kai'Sa,QiuQiu,Maokai,0,1
6,6911-9186,Rogue Warriors,Team WE,Ziv,Gragas,Haro,Graves,Forge,Syndra,kelin,Aphelios,QiuQiu,Thresh,Breathe,Irelia,beishang,Olaf,Shanks,Orianna,Elk,Kai'Sa,MISSING,Sett,1,0
7,6912-9187,Invictus Gaming,JD Gaming,TheShy,Gnar,Xun,Nidalee,Rookie,Orianna,Wink,Miss Fortune,Baolan,Galio,Zoom,Renekton,Kanavi,Graves,xiye,Viktor,LokeN,Jhin,LvMao,Leona,0,1
8,6912-9188,Invictus Gaming,JD Gaming,TheShy,Gnar,Xun,Nidalee,Rookie,Zoe,Wink,Jhin,Baolan,Leona,Zoom,Wukong,Kanavi,Graves,xiye,Viktor,LokeN,Miss Fortune,LvMao,Maokai,0,1
9,6913-9192,eStar,Bilibili Gaming,zs,Ornn,H4cker,Graves,irma,Syndra,pqy,Xayah,ShiauC,Thresh,Biubiu,Kennen,Meteor,Olaf,Zeka,Twisted Fate,Aiming,Kai'Sa,Mark,Gragas,0,1
10,6913-9193,eStar,Bilibili Gaming,zs,Kennen,H4cker,Graves,irma,Syndra,pqy,Xayah,ShiauC,Thresh,Biubiu,Jayce,Meteor,Olaf,Zeka,Orianna,Aiming,Jhin,Mark,Leona,1,0
11,6913-9194,eStar,Bilibili Gaming,zs,Kennen,H4cker,Olaf,irma,Syndra,pqy,Kai'Sa,ShiauC,Shen,Biubiu,Jayce,Meteor,Graves,Zeka,Twisted Fate,Aiming,Jhin,Mark,Leona,1,0
12,6914-9195,ThunderTalk Gaming,Royal Never Give Up,Chelizi,Aatrox,bless,Olaf,Feikun,LeBlanc,Hans SamD,Jhin,Teeen,Leona,Xiaohu,Camille,Wei,Pantheon,Cryin,Viktor,GALA,Miss Fortune,Ming,Gragas,1,0
13,6914-null,ThunderTalk Gaming,Royal Never Give Up,Chelizi,Renekton,bless,Taliyah,Feikun,Jayce,Hans SamD,Jhin,Teeen,Leona,Xiaohu,Gragas,Wei,Lillia,Cryin,Lucian,GALA,Xayah,Ming,Alistar,1,0
14,6915-9197,FunPlus Phoenix,Oh My God,Nuguri,Gragas,Tian,Olaf,Doinb,Orianna,Lwx,Kai'Sa,Crisp,Sett,New,Renekton,Aki,Graves,Wuming,Galio,Eric,Aphelios,COLD,Thresh,0,1
15,6915-9198,FunPlus Phoenix,Oh My God,Nuguri,Camille,Tian,Graves,Doinb,Twisted Fate,Lwx,Kai'Sa,Crisp,Sett,New,Jax,Aki,Nidalee,Wuming,Viktor,Eric,Jhin,COLD,Alistar,0,1
16,6916-9199,Rogue Warriors,Top Esports,Ziv,Aatrox,Haro,Nidalee,Forge,Zoe,kelin,Jhin,QiuQiu,Galio,369,Ornn,Karsa,Graves,knight,Viktor,JackeyLove,Kai'Sa,Zhuo,Alistar,1,0
17,6916-9200,Rogue Warriors,Top Esports,Ziv,Renekton,Haro,Nidalee,Forge,Jayce,kelin,Aphelios,QiuQiu,Thresh,369,Kennen,Karsa,Graves,knight,Zoe,JackeyLove,Kai'Sa,Zhuo,Sett,0,1
18,6916-9201,Rogue Warriors,Top Esports,Ziv,Gnar,Haro,Nidalee,Forge,Twisted Fate,kelin,Kai'Sa,QiuQiu,Leona,369,Jayce,Karsa,Graves,knight,Viktor,JackeyLove,Jhin,Zhuo,Alistar,0,1
19,6917-9211,Team WE,Victory Five,Breathe,Shen,beishang,Pantheon,Shanks,Orianna,Elk,Kai'Sa,MISSING,Galio,Langx,Ornn,Weiwei,Graves,Mole,Syndra,y4,Xayah,ppgod,Leona,0,1
20,6917-9212,Victory Five,Team WE,Langx,Gnar,Weiwei,Pantheon,Mole,Syndra,y4,Jhin,ppgod,Shen,Breathe,Aatrox,beishang,Sejuani,Shanks,Viktor,Elk,Samira,MISSING,Leona,0,1
21,6917-9213,Team WE,Victory Five,Breathe,Ornn,beishang,Graves,Shanks,Syndra,Elk,Samira,MISSING,Gragas,Langx,Camille,Weiwei,Olaf,Mole,Akali,y4,Jhin,ppgod,Sett,0,1
22,6918-9214,LNG Esports,Invictus Gaming,hulatang,Gnar,Tarzan,Pantheon,ICON,Orianna,Light,Tristana,Iwandy,Leona,TheShy,Karma,Xun,Graves,Rookie,Zoe,Wink,Jhin,Baolan,Galio,0,1
23,6918-9217,LNG Esports,Invictus Gaming,hulatang,Gnar,Tarzan,Olaf,ICON,Zoe,Light,Tristana,Iwandy,Alistar,TheShy,Vayne,Xun,Graves,Rookie,Orianna,Wink,Lucian,Baolan,Leona,0,1
24,6919-9227,Bilibili Gaming,JD Gaming,Biubiu,Ornn,Meteor,Graves,Zeka,Galio,Aiming,Samira,Mark,Gragas,Zoom,Aatrox,Kanavi,Lillia,Yagao,Twisted Fate,LokeN,Kai'Sa,LvMao,Thresh,1,0
