,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
8378,ESPORTSTMNT03_3225725,Kwangdong Freecs Academy,OKSavingsBank BRION Academy,Allo,Rumble,Pressure,Rell,Hades,Jayce,Whisper,Varus,Quantum,Renata Glasc,unknown player,Aatrox,Kemish,Vi,Kemish,Ahri,ADC,Aphelios,Partidarios,Rakan,0,1
8379,ESPORTSTMNT03_3225986,Weibo Gaming,Bilibili Gaming,TheShy,Graves,Weiwei,Poppy,Xiaohu,Syndra,Light,Varus,Crisp,Ashe,Bin,Aatrox,Xun,Vi,Yagao,Akali,Elk,Kalista,ON,Caitlyn,0,1
8380,ESPORTSTMNT03_3226023,T1 Academy,Gen.G Academy,Quokka,Aatrox,Soft,Rell,Heru,Azir,Rave,Jinx,Cloud,Tahm Kench,HorangE,Rumble,Toye,Jarvan IV,Dooly,Akali,Slayer,Aphelios,Dahlia,Milio,1,0
8381,ESPORTSTMNT03_3226024,Hanwha Life Esports Academy,Dplus KIA  Academy,HaeTae,Renekton,Hunter,Wukong,Tempester,Orianna,Pyeonsik,Jinx,unknown player,Thresh,Siwoo,Ornn,Sharvel,Jarvan IV,Saint,Sylas,Jinbeom,Aphelios,Chrissy,Renata Glasc,0,1
8382,ESPORTSTMNT03_3226034,OKSavingsBank BRION Academy,KT Rolster Academy,unknown player,Renekton,Kemish,Wukong,Kemish,Azir,ADC,Aphelios,Partidarios,Rakan,TOP,K'Sante,JUG,Viego,Zinie,Sylas,AD,Kai'Sa,SUP,Alistar,0,1
8383,ESPORTSTMNT03_3226035,Kwangdong Freecs Academy,Hanwha Life Esports Academy,Allo,Tryndamere,Pressure,Vi,Hades,Akali,Whisper,Xayah,Quantum,Rell,HaeTae,Malphite,Hunter,Wukong,Cracker,Orianna,Pyeonsik,Kai'Sa,unknown player,Rakan,0,1
8384,ESPORTSTMNT03_3226049,T1 Academy,Liiv SANDBOX Academy,Quokka,Renekton,Dinai,Bel'Veth,Heru,Orianna,Rave,Aphelios,Cloud,Lulu,Ripple,Aatrox,Chef,Jarvan IV,Hinata,Syndra,Celina,Xayah,Aegis,Rakan,0,1
8385,ESPORTSTMNT03_3226069,KT Rolster,JD Gaming,Kiin,Jax,Cuzz,Vi,Bdd,Syndra,Aiming,Xayah,Lehends,Lulu,369,Gragas,Kanavi,Lee Sin,knight,Orianna,Ruler,Kai'Sa,MISSING,Rakan,1,0
8386,ESPORTSTMNT03_3226113,Macko Esports,DSYRE,ACD,Gwen,Cboi,Nocturne,Six10,Orianna,Vzz,Xayah,Click,Pyke,Empyros,Ornn,Rhilech,Hecarim,XoNix,Neeko,Aetinoth,Ezreal,Nash,Maokai,0,1
8387,ESPORTSTMNT03_3226181,KT Rolster Academy,Kwangdong Freecs Academy,TOP,Aatrox,JUG,Jarvan IV,Zinie,Orianna,AD,Xayah,SUP,Alistar,Allo,Poppy,Pressure,Nocturne,Hades,Akali,Whisper,Kai'Sa,Quantum,Rakan,0,1
8388,ESPORTSTMNT03_3226184,Dplus KIA  Academy,DRX Academy,Siwoo,Malphite,Sharvel,Viego,Saint,Neeko,Jinbeom,Kalista,Chrissy,Rell,Janus,K'Sante,Unknown,Sejuani,EscA,Azir,AKaJe,Varus,Opdat,Braum,0,1
8389,ESPORTSTMNT03_3226185,Hanwha Life Esports Academy,T1 Academy,unknown player,Renekton,Hunter,Nidalee,Cracker,Syndra,Pyeonsik,Nilah,Antimage,Nautilus,Quokka,K'Sante,Dinai,Viego,Heru,Neeko,Rave,Aphelios,Cloud,Rell,1,0
8390,ESPORTSTMNT03_3226186,Kwangdong Freecs Academy,KT Rolster Academy,Allo,Camille,Pressure,Nocturne,Hades,Orianna,Whisper,Zeri,Quantum,Rakan,TOP,Aatrox,JUG,Jarvan IV,Zinie,Azir,AD,Nilah,SUP,Alistar,1,0
8391,ESPORTSTMNT03_3226205,KT Rolster Academy,DRX Academy,TOP,K'Sante,JUG,Jarvan IV,Zinie,Orianna,AD,Xayah,SUP,Alistar,Janus,Renekton,Unknown,Wukong,EscA,Azir,AKaJe,Ziggs,Opdat,Pyke,0,1
8392,ESPORTSTMNT03_3226221,LNG Esports,T1,Zika,Renekton,Tarzan,Sejuani,Scout,Orianna,GALA,Aphelios,Hang,Milio,Zeus,Jayce,Oner,Poppy,Faker,Azir,Gumayusi,Varus,Keria,Renata Glasc,1,0
8393,ESPORTSTMNT03_3226447,Weibo Gaming,Bilibili Gaming,TheShy,Rumble,Weiwei,Bel'Veth,Xiaohu,Neeko,Light,Aphelios,Crisp,Milio,Bin,Aatrox,Xun,Vi,Yagao,Syndra,Elk,Xayah,ON,Rell,0,1
8394,ESPORTSTMNT03_3226463,Weibo Gaming,Bilibili Gaming,TheShy,Ornn,Weiwei,Maokai,Xiaohu,Azir,Light,Kalista,Crisp,Renata Glasc,Bin,K'Sante,Xun,Sejuani,Yagao,Jayce,Elk,Caitlyn,ON,Lux,0,1
8395,ESPORTSTMNT03_3226531,Dino Gaming,MGN Blue Esports,zhang kun,K'Sante,Kriss,Lillia,Rudeus,Orianna,Yuyin,Kai'Sa,TQK,Rell,Ryuk,Aatrox,Sorn,Jarvan IV,Nogo,Neeko,Sty1e,Xayah,Zodiac,Alistar,1,0
8396,ESPORTSTMNT03_3226542,Original Gaming,APOLLO GAMING,Robin,Aatrox,Chopper,Maokai,Nami,Orianna,Usopp,Kog'Maw,Luffy,Lulu,Yuki,Rumble,K1thy1,Jarvan IV,VIN,Sylas,Tomrio,Zeri,Bunn,Rakan,1,0
8397,ESPORTSTMNT03_3226547,CYRUS,Rainbow Warriors,Be,Aatrox,NoNoNo1,Vi,Dttt,Taliyah,Nemo,Xayah,Uncle4,Rakan,2T,K'Sante,Spot,Jarvan IV,Artifact,Akali,EasyLove,Kalista,Sjw,Renata Glasc,1,0
8398,ESPORTSTMNT03_3226562,Original Gaming,Dino Gaming,unknown player,Gnar,unknown player,Wukong,unknown player,Sylas,unknown player,Zeri,unknown player,Rell,zhang kun,K'Sante,Kriss,Sejuani,Rudeus,Neeko,Yuyin,Kai'Sa,TQK,Leona,0,1
8399,ESPORTSTMNT03_3226570,MGN Blue Esports,Rainbow Warriors,Ryuk,K'Sante,Sorn,Vi,Nogo,Orianna,Sty1e,Xayah,Zodiac,Braum,2T,Rumble,Spot,Rell,Artifact,Azir,unknown player,Jinx,Sjw,Nautilus,0,1
8400,ESPORTSTMNT03_3226577,APOLLO GAMING,CYRUS,Yuki,Renekton,K1thy1,Jarvan IV,VIN,Ryze,Tomrio,Zeri,Bunn,Braum,Mounnika,Gnar,NoNoNo1,Lee Sin,Dttt,Akali,Nemo,Kalista,Uncle4,Nautilus,0,1
8401,ESPORTSTMNT03_3226656,CYRUS,MGN Blue Esports,Be,Renekton,NoNoNo1,Karthus,Dttt,Yone,Nemo,Kai'Sa,Uncle4,Rell,Ryuk,Aatrox,Sorn,Vi,Nogo,Neeko,Sty1e,Zeri,Zodiac,Alistar,1,0
8402,ESPORTSTMNT03_3226667,CYRUS,MGN Blue Esports,Be,K'Sante,NoNoNo1,Wukong,Dttt,Akali,Nemo,Zeri,Uncle4,Rell,Ryuk,Jax,Sorn,Jarvan IV,Nogo,Orianna,Sty1e,Kai'Sa,Zodiac,Alistar,1,0
8403,ESPORTSTMNT03_3226690,APOLLO GAMING,Rainbow Warriors,Yuki,Jax,Tomrio,Jarvan IV,VIN,Ahri,Kwhite,Aphelios,Bunn,Rell,2T,Renekton,Spot,Lee Sin,Artifact,LeBlanc,EasyLove,Ezreal,K1ller,Nautilus,1,0
8404,ESPORTSTMNT03_3226700,Dino Gaming,CYRUS,echduquai,Aatrox,Sweetboy,Jarvan IV,Rudeus,Akali,Yuyin,Zeri,TQK,Leona,Be,Renekton,NoNoNo1,Karthus,Dttt,Yone,Nemo,Xayah,Uncle4,Rakan,1,0
8405,ESPORTSTMNT03_3226704,MGN Blue Esports,Original Gaming,Ryuk,K'Sante,Sorn,Jarvan IV,Nogo,Syndra,Sty1e,Varus,Zodiac,Ashe,Sabo,Gnar,Zoro,Nocturne,Sanji,Orianna,Usopp,Tristana,Luffy,Renata Glasc,0,1
8406,ESPORTSTMNT03_3226799,APOLLO GAMING,MGN Blue Esports,Yuki,Rumble,Tomrio,Rell,VIN,Tristana,Kwhite,Nilah,,Rakan,Ryuk,Aatrox,Sorn,Bel'Veth,Nogo,Syndra,Sty1e,Kai'Sa,Zodiac,Nautilus,1,0
