Name,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,DrMundo,Draven,Ekko,Elise,Evelynn,Ezreal,FiddleSticks,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Quinn,Rakan,Rammus,RekSai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yorick,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Aatrox,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
Ahri,1.0,0.5,0.5,0.5319148936170213,0.5,1.0,0.5,0.6346153846153846,0.0,0.3157894736842105,0.3076923076923077,0.7142857142857143,0.3333333333333333,0.47540983606557374,0.5306122448979592,0.4,0.4444444444444444,0.3333333333333333,0.5106382978723404,1.0,0.42857142857142855,0.5,0.25,0.5,0.4805194805194805,0.8,0.4788732394366197,0.5,0.5,0.34782608695652173,0.4583333333333333,0.6153846153846154,0.375,0.5,0.6136363636363636,0.43902439024390244,0.5256410256410257,0.7272727272727273,0.5,0.5,0.42857142857142855,0.5,0.47368421052631576,0.423728813559322,0.5,0.5172413793103449,0.56,0.6666666666666666,0.45901639344262296,0.7377049180327869,0.25,0.47619047619047616,0.75,0.6666666666666666,0.5,0.45454545454545453,0.5714285714285714,0.4,0.5454545454545454,0.5,0.423728813559322,0.4268292682926829,0.5833333333333334,0.52,0.4805194805194805,0.5679012345679012,0.2857142857142857,0.3333333333333333,0.4117647058823529,0.5303030303030303,0.5,0.5,1.0,1.0,0.4772727272727273,0.5,0.5,0.5,0.4230769230769231,0.0,0.8571428571428571,0.6428571428571429,0.5638297872340425,0.5,0.6666666666666666,0.5,0.25,0.42857142857142855,0.5,0.625,0.5142857142857142,0.6730769230769231,0.0,0.5409836065573771,0.7407407407407407,0.3333333333333333,0.0,0.6274509803921569,1.0,0.0,0.2857142857142857,0.46,0.5,0.4,0.3333333333333333,0.0,0.5087719298245614,0.42857142857142855,0.41935483870967744,0.5714285714285714,0.5,0.5,0.46,0.5769230769230769,0.4375,0.5,0.6875,0.5,0.0,0.5,0.47368421052631576,0.5,1.0,0.5,0.5555555555555556,0.5945945945945946,0.5714285714285714,0.5,1.0,0.4166666666666667,0.5,0.5,0.4166666666666667,1.0,0.25,0.47368421052631576,0.5555555555555556,0.4166666666666667,0.5,0.5
Akali,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0
Alistar,0.5,0.46808510638297873,0.5,0.5,1.0,0.5,0.5185185185185185,0.46153846153846156,0.25,0.4274193548387097,0.46875,0.125,0.75,0.5228571428571429,0.5357142857142857,0.4782608695652174,0.5526315789473685,0.46511627906976744,0.4692982456140351,0.5,0.3333333333333333,0.6428571428571429,0.8333333333333334,0.4810126582278481,0.4977168949771689,0.7142857142857143,0.49612403100775193,0.5,0.0,0.5172413793103449,0.631578947368421,0.48148148148148145,0.41025641025641024,0.5,0.55,0.4512987012987013,0.49056603773584906,0.5370370370370371,0.5,0.0,0.4418604651162791,0.0,0.4409448818897638,0.4805194805194805,0.5882352941176471,0.5454545454545454,0.40350877192982454,0.5,0.44285714285714284,0.5223880597014925,1.0,0.475,1.0,1.0,0.75,0.7391304347826086,0.4,0.6212121212121212,0.5,0.43661971830985913,0.5,0.38823529411764707,0.5454545454545454,0.47126436781609193,0.5421686746987951,0.5785123966942148,0.5333333333333333,0.48484848484848486,0.3888888888888889,0.45454545454545453,0.0,0.5333333333333333,0.5,0.0,0.41304347826086957,0.5454545454545454,1.0,0.5275590551181102,0.49473684210526314,1.0,0.4074074074074074,0.5555555555555556,0.5,0.625,0.5,0.46621621621621623,0.5263157894736842,0.43478260869565216,0.25,0.5,0.4838709677419355,0.6428571428571429,0.6666666666666666,0.43529411764705883,0.4457831325301205,0.4827586206896552,0.5,0.5,0.625,0.5,0.7777777777777778,0.46511627906976744,1.0,1.0,0.4,0.16666666666666666,0.37209302325581395,0.4111111111111111,0.48717948717948717,0.5,0.5,1.0,0.48616600790513836,0.4691358024691358,0.46733668341708545,0.5,0.5084745762711864,0.5454545454545454,0.6,0.7142857142857143,0.43157894736842106,0.5208333333333334,0.5,0.8,0.75,0.5526315789473685,0.48148148148148145,1.0,0.5,0.5,0.75,1.0,0.45454545454545453,1.0,0.2857142857142857,0.5,0.5,0.5217391304347826,0.3333333333333333,0.1111111111111111
Amumu,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Anivia,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.26666666666666666,0.5,0.3333333333333333,0.7,0.0,0.5,0.5,0.4444444444444444,0.5,0.0,0.5,0.25,1.0,0.5,0.0,0.5,0.3333333333333333,0.5714285714285714,0.5,0.6,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.7777777777777778,0.6470588235294118,0.5,0.75,0.5,0.0,0.3333333333333333,0.5,0.3333333333333333,0.25,1.0,0.0,0.47619047619047616,1.0,0.3333333333333333,0.6521739130434783,1.0,0.3333333333333333,0.5,1.0,0.5,0.5,0.2857142857142857,0.5714285714285714,0.0,0.3333333333333333,0.3333333333333333,0.2,0.5,0.3333333333333333,0.5789473684210527,0.5,0.0,0.6666666666666666,0.0,0.5,0.5,1.0,0.5,0.0,0.6666666666666666,0.16666666666666666,0.5,0.4,0.25,0.5,0.0,0.25,0.5555555555555556,0.5,0.5,0.6666666666666666,0.5,1.0,0.5,0.391304347826087,0.0,0.5,0.5,0.16666666666666666,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5294117647058824,0.5,1.0,0.6666666666666666,0.6,0.0,0.0,0.5,0.5,0.0,0.5,0.4444444444444444,0.42857142857142855,0.391304347826087,0.5,0.5,1.0,1.0,0.5,0.25,0.0,0.5,1.0,0.5,0.45454545454545453,0.525,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.4
Annie,0.5,0.5,0.5,0.48148148148148145,0.5,1.0,0.5,0.25,0.5,0.8333333333333334,1.0,0.0,0.5,0.46153846153846156,0.7142857142857143,0.0,0.375,1.0,0.66,0.5,0.6666666666666666,0.75,1.0,0.625,0.5,0.75,0.5416666666666666,0.5,0.5,1.0,0.4444444444444444,1.0,1.0,0.5,0.6111111111111112,0.5428571428571428,0.5652173913043478,0.5625,0.5,0.5,0.5333333333333333,0.5,0.6415094339622641,0.5483870967741935,0.75,0.5,0.5,0.5333333333333333,0.2727272727272727,0.5,1.0,0.5625,0.5,0.5,0.5,0.5714285714285714,0.5,0.5,0.5,0.55,0.375,0.6956521739130435,0.6129032258064516,0.46153846153846156,0.5,0.4857142857142857,1.0,0.5,0.5,0.391304347826087,0.5,0.5,0.5,0.5,0.47619047619047616,0.5,0.5,0.5625,0.34782608695652173,0.5,0.6666666666666666,0.25,0.7222222222222222,0.5,0.0,1.0,0.5,0.5,0.5,0.5538461538461539,0.0,0.8571428571428571,0.5,0.7692307692307693,0.5,0.5263157894736842,0.5,0.5384615384615384,0.5,0.5,0.7142857142857143,0.5510204081632653,0.5,0.5,0.5,0.5,0.3333333333333333,0.0,0.5,0.5,0.5,0.5,0.6,0.6666666666666666,0.0,0.5,0.6,1.0,1.0,0.75,1.0,0.7142857142857143,0.0,0.5,0.5714285714285714,0.52,0.2,0.5,0.5,0.5,0.8461538461538461,1.0,1.0,0.5,0.5,0.2222222222222222,1.0,0.5,0.5,0.5
Ashe,0.5,0.36538461538461536,0.0,0.5384615384615384,1.0,0.7333333333333333,0.75,0.5,0.2,0.6140350877192983,0.4098360655737705,0.5238095238095238,0.3333333333333333,0.5348837209302325,0.4935064935064935,0.42857142857142855,0.453781512605042,0.75,0.5,0.3333333333333333,0.75,1.0,1.0,0.5176470588235295,0.4976958525345622,0.5,0.53125,0.5,1.0,0.48936170212765956,0.3125,0.5454545454545454,0.4666666666666667,0.5,0.4807692307692308,0.503968253968254,0.5605095541401274,0.7096774193548387,0.0,1.0,0.48717948717948717,0.42857142857142855,0.5333333333333333,0.42857142857142855,0.7333333333333333,0.5454545454545454,0.5217391304347826,0.25,0.37142857142857144,0.5321428571428571,0.0,0.45454545454545453,1.0,0.5,0.5,0.5471698113207547,0.43283582089552236,0.6,0.5151515151515151,0.5714285714285714,0.5263157894736842,0.4853801169590643,0.3333333333333333,0.5862068965517241,0.5339805825242718,0.5244755244755245,1.0,0.0,0.4574468085106383,0.5704225352112676,0.5,0.6666666666666666,0.5,0.5,0.4,0.6133333333333333,0.5,0.4647887323943662,0.5490196078431373,0.5,0.42857142857142855,0.6181818181818182,0.5253164556962026,0.5,0.3333333333333333,0.5192307692307693,0.0,0.6551724137931034,0.5,0.5539906103286385,0.5,0.43617021276595747,1.0,0.5217391304347826,0.4864864864864865,0.47368421052631576,1.0,0.4855072463768116,0.25,0.5,0.25,0.5095541401273885,1.0,0.6666666666666666,0.5714285714285714,0.6086956521739131,0.3925925925925926,0.45535714285714285,0.4888888888888889,0.47368421052631576,0.3333333333333333,1.0,0.4444444444444444,0.6818181818181818,0.4948453608247423,0.5,0.5,0.45,0.5,1.0,0.495114006514658,0.4,0.0,0.6666666666666666,1.0,0.5943396226415094,0.47435897435897434,0.5,0.6666666666666666,0.5576923076923077,1.0,0.5,0.8,0.5,0.375,0.4444444444444444,0.4444444444444444,0.5,0.5,0.512396694214876
AurelionSol,0.5,1.0,0.5,0.75,0.5,0.5,0.5,0.8,0.5,0.4,0.75,0.0,0.5,0.8,0.4,0.6666666666666666,1.0,0.6666666666666666,0.6,0.5,0.5,0.5,0.5,0.0,0.7,1.0,0.75,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.6,0.625,0.6,0.5,0.5,0.5,0.5,0.0,0.8,0.5,0.5,0.7142857142857143,0.5,0.6666666666666666,0.65,0.5,1.0,0.5,0.5,0.5,1.0,0.625,0.5,1.0,0.0,0.5,0.6,0.5,0.5,0.6,0.75,0.5,0.5,0.5,0.6363636363636364,0.5,1.0,0.5,0.5,0.5,0.75,0.5,0.4,0.75,0.5,0.5,0.5,0.8,0.5,0.5,0.75,0.0,0.5,0.5,0.5714285714285714,0.8571428571428571,0.75,0.5,0.7777777777777778,0.8888888888888888,1.0,0.5,0.5,1.0,0.5,0.5,0.6923076923076923,0.5,0.5,0.0,0.5,0.8333333333333334,1.0,0.3333333333333333,0.0,0.0,0.5,0.625,1.0,0.8,0.5,0.5,0.3333333333333333,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.25,0.8,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.4
Azir,0.0,0.6842105263157895,0.5,0.5725806451612904,0.5,0.6666666666666666,0.16666666666666666,0.38596491228070173,0.6,0.5,0.4027777777777778,0.2,0.6666666666666666,0.5877862595419847,0.6122448979591837,0.6,0.4411764705882353,0.6666666666666666,0.4864864864864865,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5421686746987951,0.5102040816326531,0.6451612903225806,0.4864864864864865,0.5,0.5,0.5,0.3902439024390244,0.7142857142857143,0.42424242424242425,0.5,0.5333333333333333,0.5870967741935483,0.52,0.6875,0.5,0.5,0.5476190476190477,0.6666666666666666,0.6153846153846154,0.54,0.5714285714285714,0.5,0.4426229508196721,0.46153846153846156,0.5172413793103449,0.5308641975308642,1.0,0.5454545454545454,0.5,0.5,0.5,0.5333333333333333,0.48,0.59375,0.5,0.6136363636363636,0.39473684210526316,0.42424242424242425,0.6,0.5714285714285714,0.5922330097087378,0.5,0.8333333333333334,0.625,0.29411764705882354,0.48717948717948717,0.5,0.3333333333333333,0.5,0.5,0.4827586206896552,0.8148148148148148,0.5,0.6578947368421053,0.4883720930232558,0.5,0.3,0.48,0.625,0.5454545454545454,0.5,0.5,0.5,1.0,0.4,0.5338345864661654,0.5,0.625,0.75,0.4583333333333333,0.5425531914893617,0.5625,0.5,0.6078431372549019,0.8,0.5,0.75,0.5491329479768786,1.0,0.0,0.6666666666666666,0.6,1.0,0.5416666666666666,0.5454545454545454,0.5,0.6470588235294118,0.5,0.5256410256410257,0.6578947368421053,0.5098039215686274,0.5,0.5,0.75,0.5,0.5454545454545454,0.5,0.7222222222222222,0.5454545454545454,0.5714285714285714,0.6,0.5533333333333333,0.4473684210526316,1.0,0.5,0.25,0.6,0.5,1.0,0.5,0.3,0.5882352941176471,1.0,0.7857142857142857,0.5714285714285714,0.5555555555555556
